2a06:9f87:0000:0000:0000:0000:0000:0000/38,US,US-AL,Huntsville,
2a06:9f87:0400:0000:0000:0000:0000:0000/38,US,US-AK,Anchorage,
2a06:9f87:0800:0000:0000:0000:0000:0000/38,US,US-AZ,Phoenix,
2a06:9f87:0c00:0000:0000:0000:0000:0000/38,US,US-AR,Little Rock,
2a06:9f87:1000:0000:0000:0000:0000:0000/38,US,US-CA,Los Angeles,
2a06:9f87:1400:0000:0000:0000:0000:0000/38,US,US-CA,San Diego,
2a06:9f87:1800:0000:0000:0000:0000:0000/38,US,US-CA,San Jose,
2a06:9f87:1c00:0000:0000:0000:0000:0000/38,US,US-CA,San Francisco,
2a06:9f87:2000:0000:0000:0000:0000:0000/38,US,US-CA,Fresno,
2a06:9f87:2400:0000:0000:0000:0000:0000/38,US,US-CO,Denver,
2a06:9f87:2800:0000:0000:0000:0000:0000/38,US,US-CT,Bridgeport,
2a06:9f87:2c00:0000:0000:0000:0000:0000/38,US,US-DE,Wilmington,
2a06:9f87:3000:0000:0000:0000:0000:0000/38,US,US-FL,Miami,
2a06:9f87:3400:0000:0000:0000:0000:0000/38,US,US-GA,Atlanta,
2a06:9f87:3800:0000:0000:0000:0000:0000/38,US,US-HI,Honolulu,
2a06:9f87:3c00:0000:0000:0000:0000:0000/38,US,US-ID,Boise,
2a06:9f87:4000:0000:0000:0000:0000:0000/38,US,US-IL,Chicago,
2a06:9f87:4400:0000:0000:0000:0000:0000/38,US,US-IN,Indianapolis,
2a06:9f87:4800:0000:0000:0000:0000:0000/38,US,US-IA,Des Moines,
2a06:9f87:4c00:0000:0000:0000:0000:0000/38,US,US-KS,Wichita,
2a06:9f87:5000:0000:0000:0000:0000:0000/38,US,US-KY,Louisville,
2a06:9f87:5400:0000:0000:0000:0000:0000/38,US,US-LA,New Orleans,
2a06:9f87:5800:0000:0000:0000:0000:0000/38,US,US-ME,Portland,
2a06:9f87:5c00:0000:0000:0000:0000:0000/38,US,US-MD,Baltimore,
2a06:9f87:6000:0000:0000:0000:0000:0000/38,US,US-MA,Boston,
2a06:9f87:6400:0000:0000:0000:0000:0000/38,US,US-MI,Detroit,
2a06:9f87:6800:0000:0000:0000:0000:0000/38,US,US-MN,Minneapolis,
2a06:9f87:6c00:0000:0000:0000:0000:0000/38,US,US-MS,Jackson,
2a06:9f87:7000:0000:0000:0000:0000:0000/38,US,US-MO,Kansas City,
2a06:9f87:7400:0000:0000:0000:0000:0000/38,US,US-MT,Billings,
2a06:9f87:7800:0000:0000:0000:0000:0000/38,US,US-NE,Omaha,
2a06:9f87:7c00:0000:0000:0000:0000:0000/38,US,US-NE,Lincoln,
2a06:9f87:8000:0000:0000:0000:0000:0000/38,US,US-NV,Las Vegas,
2a06:9f87:8400:0000:0000:0000:0000:0000/38,US,US-NH,Manchester,
2a06:9f87:8800:0000:0000:0000:0000:0000/38,US,US-NJ,Newark,
2a06:9f87:8c00:0000:0000:0000:0000:0000/38,US,US-NM,Albuquerque,
2a06:9f87:9000:0000:0000:0000:0000:0000/38,US,US-NY,New York,
2a06:9f87:9400:0000:0000:0000:0000:0000/38,US,US-NY,Hempstead town,
2a06:9f87:9800:0000:0000:0000:0000:0000/38,US,US-NY,Brookhaven,
2a06:9f87:9c00:0000:0000:0000:0000:0000/38,US,US-NC,Charlotte,
2a06:9f87:a000:0000:0000:0000:0000:0000/38,US,US-ND,Fargo,
2a06:9f87:a400:0000:0000:0000:0000:0000/38,US,US-OH,Columbus,
2a06:9f87:a800:0000:0000:0000:0000:0000/38,US,US-OK,Oklahoma City,
2a06:9f87:ac00:0000:0000:0000:0000:0000/38,US,US-OR,Portland,
2a06:9f87:b000:0000:0000:0000:0000:0000/38,US,US-PA,Philadelphia,
2a06:9f87:b400:0000:0000:0000:0000:0000/38,US,US-RI,Providence,
2a06:9f87:b800:0000:0000:0000:0000:0000/38,US,US-SC,Charleston,
2a06:9f87:bc00:0000:0000:0000:0000:0000/38,US,US-SD,Sioux Falls,
2a06:9f87:c000:0000:0000:0000:0000:0000/38,US,US-TN,Memphis,
2a06:9f87:c400:0000:0000:0000:0000:0000/38,US,US-TX,Houston,
2a06:9f87:c800:0000:0000:0000:0000:0000/38,US,US-TX,San Antonio,
2a06:9f87:cc00:0000:0000:0000:0000:0000/38,US,US-TX,Dallas,
2a06:9f87:d000:0000:0000:0000:0000:0000/38,US,US-TX,Austin,
2a06:9f87:d400:0000:0000:0000:0000:0000/38,US,US-UT,Salt Lake City,
2a06:9f87:d800:0000:0000:0000:0000:0000/38,US,US-VT,Burlington,
2a06:9f87:dc00:0000:0000:0000:0000:0000/38,US,US-VA,Virginia Beach,
2a06:9f87:e000:0000:0000:0000:0000:0000/38,US,US-WA,Seattle,
2a06:9f87:e400:0000:0000:0000:0000:0000/38,US,US-WV,Charleston,
2a06:9f87:e800:0000:0000:0000:0000:0000/38,US,US-WI,Milwaukee,
2a06:9f87:ec00:0000:0000:0000:0000:0000/38,US,US-WY,Cheyenne,
2a06:9f87:f000:0000:0000:0000:0000:0000/38,US,US-WY,Casper,
2a06:9f87:f400:0000:0000:0000:0000:0000/38,US,US-WY,Gillette,
2a06:9f87:f800:0000:0000:0000:0000:0000/38,US,US-WY,Laramie,
2a06:9f87:fc00:0000:0000:0000:0000:0000/38,US,US-WY,Rock Springs,
